ID,RNA_CoExp_w_GenAge
AN13A_HUMAN,36
AN13B_HUMAN,12
AN13C_HUMAN,32
AN13D_HUMAN,32
AN18A_HUMAN,16
AN18B_HUMAN,14
AN20B_HUMAN,
AN30A_HUMAN,6
AN30B_HUMAN,6
AN32A_HUMAN,38
AN32B_HUMAN,56
AN32C_HUMAN,
AN32D_HUMAN,7
AN32E_HUMAN,40
AN33B_HUMAN,17
AN34A_HUMAN,13
AN34B_HUMAN,3
AN34C_HUMAN,5
AN36A_HUMAN,27
AN36B_HUMAN,
AN36C_HUMAN,
ANAG_HUMAN,72
ANC2_HUMAN,44
ANCHR_HUMAN,14
ANDR_HUMAN,15
ANFB_HUMAN,17
ANFC_HUMAN,20
ANFY1_HUMAN,35
ANF_HUMAN,12
ANGE1_HUMAN,25
ANGE2_HUMAN,47
ANGI_HUMAN,28
ANGL1_HUMAN,33
ANGL2_HUMAN,53
ANGL3_HUMAN,25
ANGL4_HUMAN,51
ANGL5_HUMAN,2
ANGL6_HUMAN,30
ANGL7_HUMAN,17
ANGL8_HUMAN,
ANGP1_HUMAN,31
ANGP2_HUMAN,18
ANGP4_HUMAN,2
ANGT_HUMAN,25
ANHX_HUMAN,1
ANK1_HUMAN,37
ANK2_HUMAN,23
ANK3_HUMAN,24
ANKAR_HUMAN,3
ANKE1_HUMAN,8
ANKF1_HUMAN,3
ANKH1_HUMAN,22
ANKH_HUMAN,41
ANKK1_HUMAN,7
ANKL1_HUMAN,44
ANKL2_HUMAN,45
ANKR1_HUMAN,23
ANKR2_HUMAN,23
ANKR6_HUMAN,19
ANKR7_HUMAN,0
ANKR9_HUMAN,25
ANKS3_HUMAN,16
ANKS6_HUMAN,32
ANKUB_HUMAN,3
ANKY1_HUMAN,7
ANKY2_HUMAN,36
ANKZ1_HUMAN,33
ANLN_HUMAN,40
ANM1_HUMAN,71
ANM2_HUMAN,26
ANM3_HUMAN,59
ANM5_HUMAN,74
ANM6_HUMAN,44
ANM7_HUMAN,30
ANM8_HUMAN,4
ANM9_HUMAN,
ANO10_HUMAN,41
ANO1_HUMAN,12
ANO2_HUMAN,2
ANO3_HUMAN,5
ANO4_HUMAN,8
ANO5_HUMAN,15
ANO6_HUMAN,56
ANO7_HUMAN,4
ANO8_HUMAN,33
ANO9_HUMAN,13
ANPRA_HUMAN,46
ANPRB_HUMAN,39
ANPRC_HUMAN,31
ANR10_HUMAN,25
ANR11_HUMAN,21
ANR12_HUMAN,33
ANR16_HUMAN,15
ANR17_HUMAN,44
ANR19_HUMAN,7
ANR22_HUMAN,18
ANR23_HUMAN,14
ANR24_HUMAN,12
ANR26_HUMAN,22
ANR27_HUMAN,59
ANR28_HUMAN,18
ANR29_HUMAN,12
ANR31_HUMAN,4
ANR33_HUMAN,1
ANR35_HUMAN,4
ANR37_HUMAN,29
ANR39_HUMAN,32
ANR40_HUMAN,26
ANR42_HUMAN,6
ANR44_HUMAN,36
ANR45_HUMAN,6
ANR46_HUMAN,16
ANR49_HUMAN,29
ANR50_HUMAN,24
ANR52_HUMAN,68
ANR53_HUMAN,8
ANR54_HUMAN,40
ANR55_HUMAN,0
ANR60_HUMAN,7
ANR61_HUMAN,6
ANR62_HUMAN,3
ANR63_HUMAN,6
ANR65_HUMAN,20
ANR66_HUMAN,2
ANRA2_HUMAN,28
ANS1A_HUMAN,20
ANS1B_HUMAN,10
ANS4B_HUMAN,18
ANT3_HUMAN,26
ANTR1_HUMAN,50
ANTR2_HUMAN,3
ANTRL_HUMAN,2
ANX10_HUMAN,9
ANX11_HUMAN,64
ANX13_HUMAN,11
ANXA1_HUMAN,24
ANXA2_HUMAN,54
ANXA3_HUMAN,31
ANXA4_HUMAN,29
ANXA5_HUMAN,58
ANXA6_HUMAN,63
ANXA7_HUMAN,29
ANXA8_HUMAN,13
ANXA9_HUMAN,21
AOAH_HUMAN,34
AOC1_HUMAN,27
AOC2_HUMAN,8
AOC3_HUMAN,48
AOFA_HUMAN,53
AOFB_HUMAN,50
AOXA_HUMAN,36
AP180_HUMAN,18
AP1AR_HUMAN,38
AP1B1_HUMAN,64
AP1G1_HUMAN,49
AP1G2_HUMAN,25
AP1M1_HUMAN,57
AP1M2_HUMAN,27
AP1S1_HUMAN,24
AP1S2_HUMAN,31
AP1S3_HUMAN,33
AP2A1_HUMAN,16
AP2A2_HUMAN,55
AP2A_HUMAN,14
AP2B1_HUMAN,54
AP2B_HUMAN,18
AP2C_HUMAN,20
AP2D_HUMAN,11
AP2E_HUMAN,3
AP2M1_HUMAN,46
AP2S1_HUMAN,35
AP3B1_HUMAN,49
AP3B2_HUMAN,16
AP3D1_HUMAN,46
AP3M1_HUMAN,63
AP3M2_HUMAN,30
AP3S1_HUMAN,28
AP3S2_HUMAN,20
AP4AT_HUMAN,
AP4A_HUMAN,29
AP4B1_HUMAN,23
AP4E1_HUMAN,44
AP4M1_HUMAN,13
AP4S1_HUMAN,3
AP5B1_HUMAN,36
AP5M1_HUMAN,34
AP5S1_HUMAN,27
AP5Z1_HUMAN,51
APAF_HUMAN,47
APBA1_HUMAN,17
APBA2_HUMAN,17
APBA3_HUMAN,51
APBB1_HUMAN,24
APBB2_HUMAN,47
APBB3_HUMAN,27
APBP2_HUMAN,17
APC10_HUMAN,23
APC11_HUMAN,30
APC13_HUMAN,33
APC15_HUMAN,37
APC16_HUMAN,38
APC1_HUMAN,53
APC4_HUMAN,24
APC5_HUMAN,71
APC7_HUMAN,22
APCD1_HUMAN,33
APCDL_HUMAN,28
APCL_HUMAN,13
APC_HUMAN,19
APEL_HUMAN,15
APEX1_HUMAN,47
APEX2_HUMAN,58
APH1A_HUMAN,70
APH1B_HUMAN,19
API5_HUMAN,49
APJ_HUMAN,28
APLD1_HUMAN,41
APLF_HUMAN,9
APLP1_HUMAN,21
APLP2_HUMAN,62
APMAP_HUMAN,60
APOA1_HUMAN,27
APOA2_HUMAN,26
APOA4_HUMAN,12
APOA5_HUMAN,25
APOA_HUMAN,10
APOBR_HUMAN,30
APOB_HUMAN,21
APOC1_HUMAN,28
APOC2_HUMAN,26
APOC3_HUMAN,26
APOC4_HUMAN,
APOD_HUMAN,50
APOE_HUMAN,34
APOF_HUMAN,25
APOH_HUMAN,27
APOL1_HUMAN,44
APOL2_HUMAN,34
APOL3_HUMAN,47
APOL4_HUMAN,30
APOL5_HUMAN,3
APOL6_HUMAN,34
APOM_HUMAN,26
APOP1_HUMAN,25
APRG1_HUMAN,
APRIO_HUMAN,43
APRV1_HUMAN,14
APR_HUMAN,29
APTX_HUMAN,52
APT_HUMAN,37
AQ12A_HUMAN,
AQ12B_HUMAN,9
AQP10_HUMAN,2
AQP11_HUMAN,14
AQP1_HUMAN,47
AQP2_HUMAN,14
AQP3_HUMAN,20
AQP4_HUMAN,10
AQP5_HUMAN,2
AQP6_HUMAN,5
AQP73_HUMAN,
AQP7_HUMAN,39
AQP8_HUMAN,5
AQP9_HUMAN,31
AQR_HUMAN,17
AR13A_HUMAN,0
AR13B_HUMAN,28
AR26L_HUMAN,0
AR2BP_HUMAN,39
AR6P1_HUMAN,56
AR6P4_HUMAN,29
AR6P6_HUMAN,62
ARAF_HUMAN,68
ARAID_HUMAN,61
ARAP1_HUMAN,37
ARAP2_HUMAN,36
ARAP3_HUMAN,21
ARAS1_HUMAN,7
ARBK1_HUMAN,
